Date,Day of Week,Visits,Year,xmas,cl,Class,days from christmas,springb,springb2,sb,break,holiday,snowfall,snowclass,Snowclass,numsnowclass,weekday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,SeasonDay,class,wkday,wkday2,dec,spred
2/3/2014,Monday,824,1,0,1,2,40,0,0,0,0,0,0,None,none,0,1,0,0,0,1,0,0,0,69,medium,1,0,0,2
2/4/2014,Tuesday,704,1,0,1,2,41,0,0,0,0,0,0,None,none,0,1,0,0,0,0,1,0,0,70,medium,1,1,0,2
2/5/2014,Wednesday,725,1,0,1,2,42,0,0,0,0,0,0,None,none,0,1,0,0,0,0,0,1,0,71,medium,1,1,0,2
2/6/2014,Thursday,701,1,0,1,2,43,0,0,0,0,0,1,Low,low,1,1,0,0,0,0,0,0,1,72,medium,0,1,0,2
2/7/2014,Friday,1415,1,0,2,3,44,0,0,0,0,0,10,MediumHigh,high,4,0,1,0,0,0,0,0,0,73,high,0,0,0,3
2/8/2014,Saturday,4276,1,0,3,3,45,0,0,0,0,0,9,MediumHigh,high,4,0,0,1,0,0,0,0,0,74,high,0,0,0,3
2/9/2014,Sunday,4689,1,0,3,3,46,0,0,0,0,0,8,MediumHigh,high,4,0,0,0,1,0,0,0,0,75,high,0,0,0,3
2/10/2014,Monday,789,1,0,1,2,47,0,0,0,0,0,1,Low,low,1,1,0,0,0,1,0,0,0,76,medium,1,0,0,2
2/11/2014,Tuesday,917,1,0,1,2,48,0,0,0,0,0,12,High,high,5,1,0,0,0,0,1,0,0,77,medium,1,1,0,2
2/12/2014,Wednesday,1016,1,0,2,3,49,0,0,0,0,0,8,MediumHigh,high,4,1,0,0,0,0,0,1,0,78,high,1,1,0,2
2/13/2014,Thursday,1355,1,0,2,3,50,0,0,0,0,0,3,Low,low,1,1,0,0,0,0,0,0,1,79,high,0,1,0,2
2/14/2014,Friday,2911,1,0,3,3,51,0,0,0,0,0,4,MediumLow,medium,2,0,1,0,0,0,0,0,0,80,high,0,0,0,3
2/15/2014,Saturday,5063,1,0,3,3,52,0,0,0,0,0,38,High,high,5,0,0,1,0,0,0,0,0,81,high,0,0,0,3
2/16/2014,Sunday,6663,1,0,3,3,53,0,0,0,0,0,23,High,high,5,0,0,0,1,0,0,0,0,82,high,0,0,0,3
2/18/2014,Tuesday,3141,1,0,3,3,54,0,0,0,0,0,24,High,high,5,1,0,0,0,0,1,0,0,83,high,1,1,0,2
2/19/2014,Wednesday,3068,1,0,3,3,55,0,0,0,0,0,20,High,high,5,1,0,0,0,0,0,1,0,84,high,1,1,0,2
2/20/2014,Thursday,2716,1,0,3,3,56,0,0,0,0,0,6,Medium,medium,3,1,0,0,0,0,0,0,1,85,high,0,1,0,2
2/21/2014,Friday,4315,1,0,3,3,57,0,1,1,0,0,0,None,none,0,0,1,0,0,0,0,0,0,86,high,0,0,0,3
2/22/2014,Saturday,5990,1,0,3,3,58,0,1,1,0,0,2,Low,low,1,0,0,1,0,0,0,0,0,87,high,0,0,0,3
2/23/2014,Sunday,5452,1,0,3,3,59,0,1,1,0,0,5,MediumLow,medium,2,0,0,0,1,0,0,0,0,88,high,0,0,0,3
2/24/2014,Monday,1125,1,0,2,3,60,0,1,1,0,0,0,None,none,0,1,0,0,0,1,0,0,0,89,high,1,0,0,2
2/25/2014,Tuesday,927,1,0,1,2,61,0,1,1,0,0,0,None,none,0,1,0,0,0,0,1,0,0,90,medium,1,1,0,2
2/26/2014,Wednesday,1159,1,0,2,3,62,0,1,1,0,0,0,None,none,0,1,0,0,0,0,0,1,0,91,high,1,1,0,2
2/27/2014,Thursday,867,1,0,1,2,63,0,1,1,0,0,0,None,none,0,1,0,0,0,0,0,0,1,92,medium,0,1,0,2
2/28/2014,Friday,1579,1,0,2,3,64,0,1,1,0,0,0,None,none,0,0,1,0,0,0,0,0,0,93,high,0,0,0,3
3/1/2014,Saturday,4121,1,0,3,3,65,0,1,1,0,0,0,None,none,0,0,0,1,0,0,0,0,0,94,high,0,0,0,3
3/2/2014,Sunday,3950,1,0,3,3,66,0,1,1,0,0,2,Low,low,1,0,0,0,1,0,0,0,0,95,high,0,0,0,3
3/3/2014,Monday,862,1,0,1,2,67,0,0,1,0,0,4,MediumLow,medium,2,1,0,0,0,1,0,0,0,96,medium,1,0,0,2
3/4/2014,Tuesday,752,1,0,1,2,68,0,0,1,0,0,3,Low,low,1,1,0,0,0,0,1,0,0,97,medium,1,1,0,2
3/5/2014,Wednesday,284,1,0,1,1,69,0,0,1,0,0,1,Low,low,1,1,0,0,0,0,0,1,0,98,low,1,1,0,2
3/6/2014,Thursday,497,1,0,1,1,70,0,0,1,0,0,5,MediumLow,medium,2,1,0,0,0,0,0,0,1,99,low,0,1,0,2
3/7/2014,Friday,2157,1,0,3,3,71,0,0,1,0,0,4,MediumLow,medium,2,0,1,0,0,0,0,0,0,100,high,0,0,0,3
3/8/2014,Saturday,2464,1,0,3,3,72,0,0,1,0,0,0,None,none,0,0,0,1,0,0,0,0,0,101,high,0,0,0,3
3/9/2014,Sunday,1400,1,0,2,3,73,0,0,1,0,0,1,Low,low,1,0,0,0,1,0,0,0,0,102,high,0,0,0,3
3/10/2014,Monday,556,1,0,1,2,74,0,0,1,0,0,2,Low,low,1,1,0,0,0,1,0,0,0,103,medium,1,0,0,2
3/11/2014,Tuesday,774,1,0,1,2,75,0,0,1,0,0,7,Medium,medium,3,1,0,0,0,0,1,0,0,104,medium,1,1,0,2
3/12/2014,Wednesday,1119,1,0,2,3,76,0,0,1,0,0,0,None,none,0,1,0,0,0,0,0,1,0,105,high,1,1,0,2
3/13/2014,Thursday,763,1,0,1,2,77,0,0,1,0,0,0,None,none,0,1,0,0,0,0,0,0,1,106,medium,0,1,0,2
3/14/2014,Friday,1393,1,0,2,3,78,0,0,1,0,0,2,Low,low,1,0,1,0,0,0,0,0,0,107,high,0,0,0,3
3/15/2014,Saturday,2616,1,0,3,3,79,0,0,1,0,0,2,Low,low,1,0,0,1,0,0,0,0,0,108,high,0,0,0,3
3/16/2014,Sunday,1841,1,0,2,3,80,0,0,1,0,0,2,Low,low,1,0,0,0,1,0,0,0,0,109,high,0,0,0,3
3/17/2014,Monday,1068,1,0,2,3,81,1,0,1,1,0,13,High,high,5,1,0,0,0,1,0,0,0,110,high,1,0,0,2
3/18/2014,Tuesday,997,1,0,1,2,82,1,0,1,1,0,0,None,none,0,1,0,0,0,0,1,0,0,111,medium,1,1,0,2
3/19/2014,Wednesday,627,1,0,1,2,83,1,0,1,1,0,0,None,none,0,1,0,0,0,0,0,1,0,112,medium,1,1,0,2
3/20/2014,Thursday,824,1,0,1,2,84,1,0,1,1,0,3,Low,low,1,1,0,0,0,0,0,0,1,113,medium,0,1,0,2
3/21/2014,Friday,1831,1,0,2,3,85,1,0,1,1,0,2,Low,low,1,0,1,0,0,0,0,0,0,114,high,0,0,0,3
3/22/2014,Saturday,3783,1,0,3,3,86,1,0,1,1,0,0,None,none,0,0,0,1,0,0,0,0,0,115,high,0,0,0,3
3/23/2014,Sunday,3964,1,0,3,3,87,1,0,1,1,0,1,Low,low,1,0,0,0,1,0,0,0,0,116,high,0,0,0,3
3/24/2014,Monday,912,1,0,1,2,88,1,0,1,1,0,0,None,none,0,1,0,0,0,1,0,0,0,117,medium,1,0,0,2
3/25/2014,Tuesday,320,1,0,1,1,89,1,0,1,1,0,0,None,none,0,1,0,0,0,0,1,0,0,118,low,1,1,0,2
3/26/2014,Wednesday,525,1,0,1,2,90,1,0,1,1,0,5,MediumLow,medium,2,1,0,0,0,0,0,1,0,119,medium,1,1,0,2
3/27/2014,Thursday,853,1,0,1,2,91,1,0,1,1,0,3,Low,low,1,1,0,0,0,0,0,0,1,120,medium,0,1,0,2
3/28/2014,Friday,1085,1,0,2,3,92,1,0,1,1,0,4,MediumLow,medium,2,0,1,0,0,0,0,0,0,121,high,0,0,0,3
3/29/2014,Saturday,2959,1,0,3,3,93,1,0,1,1,0,3,Low,low,1,0,0,1,0,0,0,0,0,122,high,0,0,0,3
3/30/2014,Sunday,3121,1,0,3,3,94,1,0,1,1,0,5,MediumLow,medium,2,0,0,0,1,0,0,0,0,123,high,0,0,0,3
3/31/2014,Monday,642,1,0,1,2,95,0,0,0,0,0,1,Low,low,1,1,0,0,0,1,0,0,0,124,medium,1,0,0,2
4/1/2014,Saturday,644,1,0,1,2,96,0,0,0,0,0,0,None,none,0,0,0,1,0,0,0,0,0,125,medium,0,0,0,3
4/2/2014,Sunday,1088,1,0,2,3,97,0,0,0,0,0,0,None,none,0,0,0,0,1,0,0,0,0,126,high,0,0,0,3
4/3/2014,Monday,615,1,0,1,2,98,0,0,0,0,0,0,None,none,0,1,0,0,0,1,0,0,0,127,medium,1,0,0,2
4/4/2014,Tuesday,912,1,0,1,2,99,0,0,0,0,0,5,MediumLow,medium,2,1,0,0,0,0,1,0,0,128,medium,1,1,0,2
4/5/2014,Wednesday,2246,1,0,3,3,100,0,0,0,0,0,1,Low,low,1,1,0,0,0,0,0,1,0,129,high,1,1,0,2
