Date,Day of Week,Visits,Year,xmas,Class,days from christmas,spring,break,holiday,snowfall,snowclass,numsnowclass,weekday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday
12/6/15,Sunday,3211,2,0,3,19,0,0,0,17,High,5,0,0,0,1,0,0,0,0
12/7/15,Monday,193,2,0,1,18,0,0,0,6,Medium,3,1,0,0,0,1,0,0,0
12/8/15,Tuesday,66,2,0,1,17,0,0,0,7,Medium,3,1,0,0,0,0,1,0,0
12/9/15,Wednesday,101,2,0,1,16,0,0,0,1,Low,1,1,0,0,0,0,0,1,0
12/10/15,Thursday,319,2,0,1,15,0,0,0,5,MediumLow,2,1,0,0,0,0,0,0,1
12/11/15,Friday,1412,2,0,3,14,0,0,0,7,Medium,3,0,1,0,0,0,0,0,0
12/12/15,Saturday,3636,2,0,3,13,0,0,0,1,Low,1,0,0,1,0,0,0,0,0
12/13/15,Sunday,5383,2,0,3,12,0,0,0,13,High,5,0,0,0,1,0,0,0,0
12/14/15,Monday,1331,2,0,3,11,0,0,0,5,MediumLow,2,1,0,0,0,1,0,0,0
12/15/15,Tuesday,931,2,0,2,10,0,0,0,0,None,0,1,0,0,0,0,1,0,0
12/16/15,Wednesday,880,2,0,2,9,0,0,0,3,Low,1,1,0,0,0,0,0,1,0
12/17/15,Thursday,1335,2,0,3,8,0,0,0,7,Medium,3,1,0,0,0,0,0,0,1
12/18/15,Friday,3019,2,0,3,7,0,0,0,17,High,5,0,1,0,0,0,0,0,0
12/19/15,Saturday,5395,2,1,3,6,0,1,0,5,MediumLow,2,0,0,1,0,0,0,0,0
12/20/15,Sunday,4519,2,1,3,5,0,1,0,7,Medium,3,0,0,0,1,0,0,0,0
12/21/15,Monday,3203,2,1,3,4,0,1,0,10,MediumHigh,4,1,0,0,0,1,0,0,0
12/22/15,Tuesday,4229,2,1,3,3,0,1,0,21,High,5,1,0,0,0,0,1,0,0
12/23/15,Wednesday,4827,2,1,3,2,0,1,0,17,High,5,1,0,0,0,0,0,1,0
12/24/15,Thursday,4435,2,1,3,1,0,1,0,9,MediumHigh,4,1,0,0,0,0,0,0,1
12/25/15,Friday,3661,2,1,3,0,0,1,0,0,None,0,0,1,0,0,0,0,0,0
12/26/15,Saturday,5658,2,1,3,1,0,1,0,0,None,0,0,0,1,0,0,0,0,0
12/27/15,Sunday,5187,2,1,3,2,0,1,0,1,Low,1,0,0,0,1,0,0,0,0
12/28/15,Monday,5478,2,1,3,3,0,1,0,1,Low,1,1,0,0,0,1,0,0,0
12/29/15,Tuesday,5400,2,1,3,4,0,1,0,0,None,0,1,0,0,0,0,1,0,0
12/30/15,Wednesday,6910,2,1,3,5,0,1,0,0,None,0,1,0,0,0,0,0,1,0
12/31/15,Thursday,5844,2,1,3,6,0,1,0,0,None,0,1,0,0,0,0,0,0,1
1/1/16,Friday,6488,2,1,3,7,0,1,1,0,None,0,0,1,0,0,0,0,0,0
1/2/16,Saturday,7090,2,1,3,8,0,1,0,0,None,0,0,0,1,0,0,0,0,0
1/3/16,Sunday,3264,2,1,3,9,0,1,0,3,Low,1,0,0,0,1,0,0,0,0
1/4/16,Monday,1172,2,1,3,10,0,1,0,9,MediumHigh,4,1,0,0,0,1,0,0,0
1/5/16,Tuesday,999,2,1,2,11,0,1,0,1,Low,1,1,0,0,0,0,1,0,0
1/6/16,Wednesday,1168,2,1,3,12,0,1,0,1,Low,1,1,0,0,0,0,0,1,0
1/7/16,Thursday,1119,2,1,3,13,0,1,0,0,None,0,1,0,0,0,0,0,0,1
1/8/16,Friday,1911,2,1,3,14,0,1,0,0,None,0,0,1,0,0,0,0,0,0
1/9/16,Saturday,6769,2,1,3,15,0,1,0,0,None,0,0,0,1,0,0,0,0,0
1/10/16,Sunday,3937,2,1,3,16,0,1,0,0,None,0,0,0,0,1,0,0,0,0
1/11/16,Monday,643,2,0,2,17,0,0,0,0,None,0,1,0,0,0,1,0,0,0
1/12/16,Tuesday,568,2,0,2,18,0,0,0,7,Medium,3,1,0,0,0,0,1,0,0
1/13/16,Wednesday,1542,2,0,3,19,0,0,0,8,MediumHigh,4,1,0,0,0,0,0,1,0
1/14/16,Thursday,1288,2,0,3,20,0,0,0,6,Medium,3,1,0,0,0,0,0,0,1
1/15/16,Friday,2549,2,0,3,21,0,0,0,0,None,0,0,1,0,0,0,0,0,0
1/16/16,Saturday,7140,2,0,3,22,0,0,0,5,MediumLow,2,0,0,1,0,0,0,0,0
1/17/16,Sunday,5257,2,0,3,23,0,0,0,5,MediumLow,2,0,0,0,1,0,0,0,0
1/18/16,Monday,6106,2,0,3,24,0,0,1,0,None,0,1,0,0,0,1,0,0,0
1/19/16,Tuesday,760,2,0,2,25,0,0,0,1,Low,1,1,0,0,0,0,1,0,0
1/20/16,Wednesday,1094,2,0,3,26,0,0,0,8,MediumHigh,4,1,0,0,0,0,0,1,0
1/21/16,Thursday,190,2,0,1,27,0,0,0,10,MediumHigh,4,1,0,0,0,0,0,0,1
1/22/16,Friday,1575,2,0,3,28,0,0,0,2,Low,1,0,1,0,0,0,0,0,0
1/23/16,Saturday,6201,2,0,3,29,0,0,0,1,Low,1,0,0,1,0,0,0,0,0
1/24/16,Sunday,5515,2,0,3,30,0,0,0,4,MediumLow,2,0,0,0,1,0,0,0,0
1/25/16,Monday,1390,2,0,3,31,0,0,0,0,None,0,1,0,0,0,1,0,0,0
1/26/16,Tuesday,308,2,0,1,32,0,0,0,0,None,0,1,0,0,0,0,1,0,0
1/27/16,Wednesday,243,2,0,1,33,0,0,0,0,None,0,1,0,0,0,0,0,1,0
1/28/16,Thursday,149,2,0,1,34,0,0,0,0,None,0,1,0,0,0,0,0,0,1
1/29/16,Friday,1878,2,0,3,35,0,0,0,3,Low,1,0,1,0,0,0,0,0,0
1/30/16,Saturday,6882,2,0,3,36,0,0,0,9,MediumHigh,4,0,0,1,0,0,0,0,0
1/31/16,Sunday,5683,2,0,3,37,0,0,0,0,None,0,0,0,0,1,0,0,0,0
2/1/16,Monday,971,2,0,2,38,0,0,0,0,None,0,1,0,0,0,1,0,0,0
2/2/16,Tuesday,905,2,0,2,39,0,0,0,0,None,0,1,0,0,0,0,1,0,0
2/3/16,Wednesday,700,2,0,2,40,0,0,0,0,None,0,1,0,0,0,0,0,1,0
2/4/16,Thursday,1673,2,0,3,41,0,0,0,12,High,5,1,0,0,0,0,0,0,1
2/5/16,Friday,1587,2,0,3,42,0,0,0,0,None,0,0,1,0,0,0,0,0,0
2/6/16,Saturday,5923,2,0,3,43,0,0,0,6,Medium,3,0,0,1,0,0,0,0,0
2/7/16,Sunday,5261,2,0,3,44,0,0,0,0,None,0,0,0,0,1,0,0,0,0
2/8/16,Monday,1107,2,0,3,45,0,0,0,0,None,0,1,0,0,0,1,0,0,0
2/9/16,Tuesday,939,2,0,2,46,0,0,0,0,None,0,1,0,0,0,0,1,0,0
2/10/16,Wednesday,754,2,0,2,47,0,0,0,0,None,0,1,0,0,0,0,0,1,0
2/11/16,Thursday,607,2,0,2,48,0,0,0,0,None,0,1,0,0,0,0,0,0,1
2/12/16,Friday,1167,2,0,3,49,0,0,0,0,None,0,0,1,0,0,0,0,0,0
2/13/16,Saturday,4494,2,0,3,50,0,0,0,4,MediumLow,2,0,0,1,0,0,0,0,0
2/14/16,Sunday,2128,2,0,3,51,0,0,0,4,MediumLow,2,0,0,0,1,0,0,0,0
2/15/16,Monday,1653,2,0,3,52,0,0,1,3,Low,1,1,0,0,0,1,0,0,0
2/16/16,Tuesday,1365,2,0,3,53,0,0,0,3,Low,1,1,0,0,0,0,1,0,0
2/17/16,Wednesday,842,2,0,2,54,0,0,0,0,None,0,1,0,0,0,0,0,1,0
2/18/16,Thursday,1744,2,0,3,55,0,0,0,5,MediumLow,2,1,0,0,0,0,0,0,1
2/19/16,Friday,2596,2,0,3,56,0,0,0,3,Low,1,0,1,0,0,0,0,0,0
2/20/16,Saturday,7332,2,0,3,57,0,0,0,10,MediumHigh,4,0,0,1,0,0,0,0,0
2/21/16,Sunday,3850,2,0,3,58,0,0,0,0,None,0,0,0,0,1,0,0,0,0
2/22/16,Monday,987,2,0,2,59,0,0,0,1,Low,1,1,0,0,0,1,0,0,0
